rec_unit,time,surv
UK,0,1
UK,3,0.999732405
UK,4,0.999598591
UK,5,0.999464728
UK,8,0.999330667
UK,10,0.999062355
UK,11,0.998928062
UK,14,0.998793671
UK,17,0.998524875
UK,21,0.998390338
UK,24,0.99825578
UK,28,0.998121201
UK,34,0.997986601
UK,38,0.997851964
UK,45,0.997717307
UK,46,0.997582567
UK,48,0.997447827
UK,54,0.997313053
UK,63,0.997178266
UK,64,0.997043481
UK,77,0.996908183
UK,78,0.99663739
UK,83,0.996501731
UK,84,0.996365972
UK,85,0.996230208
UK,105,0.996093536
UK,115,0.995956647
UK,120,0.995682807
UK,126,0.995545644
UK,138,0.99540837
UK,150,0.995271021
UK,175,0.995133474
UK,176,0.994995896
UK,184,0.994858202
UK,194,0.994720462
UK,198,0.994582681
UK,200,0.994444769
UK,204,0.994306855
UK,220,0.994168642
UK,222,0.993892249
UK,258,0.99375392
UK,273,0.993615459
UK,276,0.993476994
UK,281,0.993338462
UK,283,0.993199829
UK,299,0.992922387
UK,303,0.992783605
UK,305,0.992644781
UK,320,0.992367043
UK,323,0.992088988
UK,328,0.991949785
UK,332,0.991810561
UK,335,0.991671252
UK,340,0.991531659
UK,342,0.99139196
UK,362,0.99125142
UK,364,0.991110848
UK,365,0.990970235
UK,366,0.990829556
UK,383,0.990688689
UK,438,0.990547177
UK,443,0.990405599
UK,447,0.990263988
UK,454,0.989980736
UK,459,0.989697111
UK,466,0.989555246
UK,470,0.989271474
UK,480,0.989129428
UK,487,0.988987199
UK,498,0.988844912
UK,506,0.98870243
UK,510,0.988559726
UK,511,0.988274168
UK,531,0.988131213
UK,551,0.987987983
UK,554,0.987844719
UK,572,0.987701337
UK,585,0.987557836
UK,589,0.987414339
UK,605,0.987270751
UK,606,0.987127125
UK,609,0.986983453
UK,617,0.986839688
UK,624,0.986695853
UK,639,0.986551904
UK,640,0.986407929
UK,650,0.9862639
UK,652,0.986119715
UK,671,0.985975256
UK,677,0.98583076
UK,725,0.985685176
UK,739,0.98553932
UK,761,0.985393256
UK,768,0.985247195
UK,769,0.985101096
UK,783,0.984954956
UK,799,0.984808197
UK,803,0.984661405
UK,833,0.984514449
UK,859,0.984367391
UK,870,0.984220161
UK,887,0.984072664
UK,888,0.983925121
UK,890,0.98377753
UK,892,0.983629939
UK,906,0.983482223
UK,915,0.983334403
UK,923,0.983186464
UK,941,0.983038334
UK,942,0.982890126
UK,947,0.982741897
UK,973,0.982593397
UK,975,0.982444858
UK,986,0.982296221
UK,1000,0.982147162
UK,1007,0.981997831
UK,1015,0.981848405
UK,1020,0.981698917
UK,1023,0.981549357
UK,1047,0.981399597
UK,1048,0.981249798
UK,1053,0.981099953
UK,1055,0.980949776
UK,1056,0.980799446
UK,1060,0.980648914
UK,1069,0.980497989
UK,1092,0.980346538
UK,1100,0.980194802
UK,1101,0.980043002
UK,1118,0.97989083
UK,1121,0.97973838
UK,1128,0.979585755
UK,1131,0.979432924
UK,1140,0.979279878
UK,1145,0.979126615
UK,1151,0.978973338
UK,1152,0.978819903
UK,1154,0.978666466
UK,1159,0.978512738
UK,1164,0.978358983
UK,1169,0.978205078
UK,1171,0.978051155
UK,1178,0.9778972
UK,1182,0.977743173
UK,1200,0.977588964
UK,1201,0.977434737
UK,1204,0.9772805
UK,1211,0.977125801
UK,1212,0.976970998
UK,1215,0.976661066
UK,1224,0.976505956
UK,1239,0.976350773
UK,1246,0.976195493
UK,1252,0.976040147
UK,1272,0.975884686
UK,1273,0.975729174
UK,1282,0.975573422
UK,1286,0.97541766
UK,1304,0.975261664
UK,1316,0.975105482
UK,1319,0.974949288
UK,1326,0.974792895
UK,1333,0.974636484
UK,1359,0.974478803
UK,1376,0.974162749
UK,1385,0.974004598
UK,1386,0.973846377
UK,1395,0.973528838
UK,1398,0.973369821
UK,1399,0.973210819
UK,1411,0.97305058
UK,1438,0.972887539
UK,1485,0.9727196
UK,1492,0.972550895
UK,1497,0.972381981
UK,1500,0.972212783
UK,1501,0.972043546
UK,1502,0.971874043
UK,1506,0.971704422
UK,1512,0.97153454
UK,1513,0.971364606
UK,1519,0.971194485
UK,1525,0.971024049
UK,1530,0.970853397
UK,1531,0.970682639
UK,1535,0.970511823
UK,1549,0.970340659
UK,1553,0.969827073
UK,1561,0.969655644
UK,1569,0.969484046
UK,1584,0.969312179
UK,1586,0.969140173
UK,1611,0.968967847
UK,1614,0.968795536
UK,1622,0.968623077
UK,1623,0.968450545
UK,1627,0.968277951
UK,1629,0.968105132
UK,1640,0.967932039
UK,1641,0.967758883
UK,1651,0.967585489
UK,1657,0.967411814
UK,1673,0.967237442
UK,1678,0.967062892
UK,1680,0.966888008
UK,1681,0.966712966
UK,1688,0.96636253
UK,1697,0.966186637
UK,1714,0.96600963
UK,1716,0.965832502
UK,1748,0.96565236
UK,1773,0.965469051
UK,1777,0.965284744
UK,1778,0.965100089
UK,1779,0.96491499
UK,1783,0.964729075
UK,1784,0.964542997
UK,1797,0.964354064
UK,1802,0.964163795
UK,1808,0.963780374
UK,1811,0.963587463
UK,1816,0.963392695
UK,1826,0.963195586
